# BUSCO version is: 5.0.0 
# The lineage dataset is: vertebrata_odb10 (Creation date: 2021-02-19, number of species: 67, number of BUSCOs: 3354)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
173at7742	Complete	ptg000129l	7658662	8173865	+	7107.7	4870	https://www.orthodb.org/v10?query=173at7742	G-protein coupled receptor 98
476at7742	Duplicated	ptg000428l:323990-495564	323990	496967	-	7823.2	4233	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
476at7742	Duplicated	ptg000782l	504732	676157	-	7850.3	4180	https://www.orthodb.org/v10?query=476at7742	Ubiquitin protein ligase E3 component n-recognin 4
817at7742	Duplicated	ptg001085l	655084	878527	-	8119.5	3936	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
817at7742	Duplicated	ptg001396l	454616	680066	-	8149.7	3941	https://www.orthodb.org/v10?query=817at7742	E3 ubiquitin-protein ligase MYCBP2 isoform X1
903at7742	Duplicated	ptg001253l	771482	825748	-	7497.0	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
903at7742	Duplicated	ptg000504l	950797	1005209	-	7497.3	3922	https://www.orthodb.org/v10?query=903at7742	sacsin
1034at7742	Complete	ptg002502l	84728	342769	-	6787.5	3685	https://www.orthodb.org/v10?query=1034at7742	Vacuolar protein sorting 13 homolog D
1270at7742	Duplicated	ptg000976l	722055	878620	-	7252.8	3784	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1270at7742	Duplicated	ptg000733l	631374	787065	-	7445.9	3904	https://www.orthodb.org/v10?query=1270at7742	probable E3 ubiquitin-protein ligase HECTD4
1566at7742	Duplicated	ptg000783l	1573034	1841399	-	4143.1	2957	https://www.orthodb.org/v10?query=1566at7742	cubilin
1566at7742	Duplicated	ptg000478l	1127734	1396943	-	4185.8	2970	https://www.orthodb.org/v10?query=1566at7742	cubilin
1653at7742	Duplicated	ptg000249l	2032436	2111903	+	6499.2	3290	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1653at7742	Duplicated	ptg000699l	5019023	5098310	+	6647.2	3295	https://www.orthodb.org/v10?query=1653at7742	transformation/transcription domain-associated protein
1662at7742	Complete	ptg000413l	4272070	4800868	+	5761.3	2930	https://www.orthodb.org/v10?query=1662at7742	reelin
2066at7742	Complete	ptg001148l	137608	244167	+	5591.2	2985	https://www.orthodb.org/v10?query=2066at7742	serine/threonine-protein kinase SMG1
2178at7742	Duplicated	ptg000095l	396533	433495	+	3298.1	2271	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2178at7742	Duplicated	ptg000404l	521697	558861	-	3646.5	2331	https://www.orthodb.org/v10?query=2178at7742	protein SZT2
2461at7742	Complete	ptg000382l	12397543	12644399	-	5275.8	2576	https://www.orthodb.org/v10?query=2461at7742	ubiquitin carboxyl-terminal hydrolase 34
2503at7742	Complete	ptg000359l	526312	682308	+	4827.3	2827	https://www.orthodb.org/v10?query=2503at7742	lysosomal-trafficking regulator
2845at7742	Complete	ptg000154l	4958485	5289382	-	2805.4	2427	https://www.orthodb.org/v10?query=2845at7742	cilia- and flagella-associated protein 54
